standard_code,eligibility,reason,standard_kind,canonical_product,primary_subject,product_subtype,function,material,application,metadata_confidence,product_confidence,review_required,review_reason,quality_flags
IS 2548 (Part 1): 1996,REVIEW_REQUIRED,low_confidence_metadata,product_standard,bolt,"PLASTIC SEATS AND COVERS FOR WATER- CLOSETS, PART 1 THERMOSET SEATS AND COVERS",,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2548 (Part 2): 1996,REVIEW_REQUIRED,low_confidence_metadata,product_standard,bolt,"PLASTIC SEATS AND COVERS FOR WATER-CLOSETS, PART 2 – THERMOPLASTIC SEATS AND COVERS",,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2556 (Part 1): 1994,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,VITREOUS SANITARY APPLIANCES,,,,,high,medium,False,,
IS 2556 (Part 14): 1994,REVIEW_REQUIRED,low_confidence_metadata,product_standard,pipe_fitting,VITREOUS SANITARY APPLIANCES,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2556 (Part 2): 1994,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,vitreous_sanitary_appliances,VITREOUS SANITARY APPLIANCES,,,,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2556 (Part 4): 1994,REVIEW_REQUIRED,low_confidence_metadata,product_standard,bolt,VITREOUS SANITARY APLLIANCES,,,,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2556 (Part 9): 1994,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,vitreous_sanitary_appliances,VITREOUS SANITARY APPLIANCES,,,,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2585: 1968,REVIEW_REQUIRED,low_confidence_metadata,product_standard,nut,BLACK SQUARE BOLTS AND NUTS,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2645: 2003,REVIEW_REQUIRED,low_confidence_metadata,material_standard,cement,INTEGRAL CEMENT WATER-PROOFING COMPOUNDS,,waterproofing,concrete,waterproofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2676: 1981,REVIEW_REQUIRED,source_grounded_fallback_requires_review,other,aluminium_alloys_sheet_strip,"DIMENSIONS FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS, SHEET AND STRIP",,,aluminium,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2677: 1979,REVIEW_REQUIRED,source_grounded_fallback_requires_review,other,plates_hot_rolled_sheets,DIMENSIONS FOR WROUGHT ALUMINIUM AND ALLOYS PLATES AND HOT-ROLLED SHEETS,,,aluminium,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 2678: 1987,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,pipe,DIMENSIONS AND TOLERANCE FOR WROUGHT ALUMINIUM AND ALUMINIUM ALLOYS DRAWN ROUND TUBES,,,steel,,high,high,False,,
IS 2681: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,door,NON-FERROUS METAL SLIDING DOOR BOLTS,,,aluminium,door and window construction,high,high,False,,
IS 2686: 1977,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,aggregate,CINDER AS FINE AGGREGATES FOR USE IN LIME CONCRETE,,,timber,,high,high,False,,
IS 2687: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,nut,CAP NUTS,,structural_fastening,steel,,high,high,False,,
IS 2690 (Part 1): 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,BURNT CLAY–FLAT TERRACING TILES PART 1 MACHINE-MADE,,,clay,,high,high,False,,
IS 2690 (Part 2): 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,BURNT CLAY FLAT TERRACING TILES PART 2 HAND – MADE,,,clay,,high,high,False,,
IS 2691: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,brick,BURNT CLAY FACING BRICKS,,,clay,,high,high,False,,
IS 2692: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,screw,FERRULES FOR WATER SERVICES,,structural_fastening,rubber,water supply,high,high,False,,
IS 269: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,ordinary portland 33 grade,ordinary_portland_33_grade,,,,high,high,False,,
IS 2721: 1979,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe_fitting,GALVANIZED STEEL CHAIN LINK FENCE FABRIC,,,steel,,high,high,False,,
IS 277: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_sheet,GALVANIZED STEEL SHEETS,,,steel,roofing,high,high,False,,
IS 278: 1978,REVIEW_REQUIRED,low_confidence_metadata,material_standard,coating,GALVANIZED STEEL BARBED WIRE FOR FENCING,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 280: 1978,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,MILD STEEL WIRE FOR GENERAL ENGINEERING PURPOSES,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 281: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,MILD STEEL SLIDING DOOR BOLTS FOR USE WITH PADLOCKS,,,steel,door and window construction,high,high,False,,
IS 2835: 1987,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,glass,FLAT TRANSPARENT SHEET GLASS,,,,flooring,high,high,False,,
IS 2849: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,block,NON-LOAD BEARING GYPSUM PARTITION BLOCKS (SOLID AND HOLLOW TYPES),,,concrete,,high,high,False,,
IS 2907: 1998,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,rivet,NON-FERROUS RIVETS (1.6 TO 10 mm),,,aluminium,,high,high,False,,
IS 2963: 1979,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,COPPER ALLOY WASTE FITTINGS FOR WASH-BASINS AND SINKS,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 2998: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,COLD FORGED STEEL RIVETS FOR COLD CLOSING (1 TO 16 MM DIAMETER),,,steel,,high,high,False,,
IS 3004: 1979,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,plug_socket,PLUG COCKS FOR WATER SUPPLY PURPOSES,,,,water supply,high,high,False,,
IS 3006: 1979,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,bend,bend,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3037: 1986,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,waterproofing_membrane,BITUMEN MASTIC FOR USE IN WATER—PROOFING OF ROOFS,,waterproofing,bitumen,waterproofing,high,high,False,,
IS 3063: 1994,REVIEW_REQUIRED,low_confidence_metadata,product_standard,washer,FASTENERS-SINGLE COIL RECTANGULAR SECTION SPRING LOCK WASHERS,,structural_fastening,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3068: 1986,REVIEW_REQUIRED,low_confidence_metadata,product_standard,brick,BROKEN BRICK (BURNT CLAY) COARSE AGGREGATE FOR USE IN LIME CONCRETE,,,clay,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3076: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,LOW DENSITY POLYETHYLENE PIPES FOR POTABLE WATER SUPPLIES,,carry_potable_water,,potable water supply,high,high,False,,
IS 3087: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,WOOD PARTICLE BOARDS (MEDIUM DENSITY) FOR GENERAL PURPOSES,,,timber,,high,high,False,,
IS 3097: 1980,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,board,VENEERED PARTICLE BOARDS,,,timber,,high,high,False,,
IS 3115: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,block,LIME BASED BLOCKS,,,concrete,,high,high,False,,
IS 3117: 2004,REVIEW_REQUIRED,low_confidence_metadata,product_standard,cement,BITUMEN EMULSION FOR ROADS AND ALLIED APPLICATIONS (ANIONIC TYPE),,,bitumen,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3121: 1981,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,screw,RIGGING SCREWS AND STRETCHING SCREWS,,,steel,,high,high,False,,
IS 3129: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,board,LOW DENSITY PARTICLE BOARDS,,,timber,,high,high,False,,
IS 3182: 1986,REVIEW_REQUIRED,low_confidence_metadata,product_standard,brick,BROKEN BRICK (BURNT CLAY) FINE AGGREGATE FOR USE IN LIME MORTAR,,,clay,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3308: 1981,REVIEW_REQUIRED,low_confidence_metadata,product_standard,thermal_insulation,WOOD WOOL BUILDING SLABS,,,timber,roofing,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3311: 1979,REVIEW_REQUIRED,low_confidence_metadata,material_standard,plug_socket,WASTE PLUG AND ITS ACCESSORIES FOR SINKS AND WASH-BASINS,,,rubber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3316: 1974,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,stone,STRUCTURAL GRANITE,,,,,high,high,False,,
IS 3337: 1978,REVIEW_REQUIRED,low_confidence_metadata,product_standard,timber,BALLIES FOR GENERAL PURPOSES,,,timber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3348: 1965,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,"FIBRE INSULATION BOARD 2. Dimensions and Tolerances: a) Bitumen – Bonded fibre insulating board,and b) Flame – Retardant treated fibre insulating board",,thermal_insulation,timber,thermal insulation,high,high,False,,
IS 3367: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,BURNT CLAY TILES FOR USE IN LINING IRRIGATION AND DRAINAGE WORKS,,carry_sewage,clay,sewerage,high,high,False,,
IS 3384: 1986,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,waterproofing_membrane,BITUMEN PRIMER FOR USE IN WATER–PROOFING AND DAMP–PROOFING,,waterproofing,bitumen,waterproofing,high,high,False,,
IS 3419: 1989,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,FITTINGS FOR RIGID NON-METALLIC CONDUITS,tee,thermal_insulation,,thermal insulation,high,high,False,,
IS 3438: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,glass,SILVERED GLASS MIRRORS FOR GENERAL PURPOSES,,,,,high,high,False,,
IS 3443: 1980,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,crane_rail_section,CRANE RAIL SECTION,,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 3461: 1980,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,PVC ASBESTOS FLOOR TILES,,,PVC,flooring,high,high,False,,
IS 3462: 1986,REVIEW_REQUIRED,low_confidence_metadata,product_standard,tile,UNBACKED FLEXIBLE PVC FLOORING,,flooring,PVC,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3466: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,MASONRY CEMENT,,flooring,concrete,flooring,high,high,False,,
IS 3468: 1991,REVIEW_REQUIRED,low_confidence_metadata,product_standard,nut,PIPE NUTS,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3478: 1966,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,"HIGH DENSITY WOOD PARTICLE BOARDS Note —For test procedures, refer to various parts of IS 2380 : 1997 Methods of test for wood particle boards and boards from other lignocellulosic materials ( first revision ) and 9.3 of the standard",,,timber,,high,high,False,,
IS 3480: 1966,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,FLEXIBLE STEEL CONDUITS FOR ELECTRICAL WIRING TABLE 1 REQUIREMENTS FOR FLEXIBLE STEEL CONDUCTS NOMINAL INTERNAL,,,steel,,high,medium,False,,
IS 3489: 1985,REVIEW_REQUIRED,low_confidence_metadata,material_standard,steel_sheet,ENAMELLED STEEL BATH TUBS,,,steel,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3502: 1994,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,STEEL CHEQUERED PLATES,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3564: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,door,HYDRAULICALLY REGULATED DOOR CLOSER,,,cast iron,door and window construction,high,high,False,,
IS 3583: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,BURNT CLAY PAVING BRICKS,,,clay,,high,high,False,,
IS 3589: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,"SEAMLESS OR ELECTRICALLY WELDED STEEL PIPES FOR WATER, GAS AND SEWAGE",,carry_sewage,steel,sewerage,high,high,False,,
IS 3620: 1979,REVIEW_REQUIRED,low_confidence_metadata,product_standard,block,LATERITE STONE BLOCK FOR MASONRY,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3622: 1977,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,SANDSTONE (SLABS AND TILES),,roofing,,roofing,high,high,False,,
IS 3629: 1986,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,STRUCTURAL TIMBER IN BUILDINGS,,,timber,,high,high,False,,
IS 362: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,hinge,PARLIAMENT HINGES,,,steel,,high,high,False,,
IS 363: 1993,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,hasps_staples,HASPS AND STAPLES,,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 364: 1993,REVIEW_REQUIRED,low_confidence_metadata,material_standard,window,FAN LIGHT CATCH,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3677: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,UNBONDED ROCK AND SLAG WOOL FOR THERMAL INSULATION,,thermal_insulation,aluminium,thermal insulation,high,high,False,,
IS 3709: 1966,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,MASTIC CEMENT FOR BEDDING OF METAL WINDOW 1. Scope – Requirements and methods of sampling and test for mastic cement for bedding of metal windows,,,steel,thermal insulation,high,high,False,,
IS 3731: 1985,REVIEW_REQUIRED,low_confidence_metadata,product_standard,timber,TEAK SQUARES,,,timber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3757: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,bolt,HIGH STRENGTH STRUCTURAL BOLTS,,,steel,,high,high,False,,
IS 3818: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,hinge,CONTINUOUS (PIANO) HINGES,,,steel,,high,high,False,,
IS 3828: 1966,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,window,VENTILATOR CHAINS,,,steel,door and window construction,high,high,False,,
IS 3837: 1976,REVIEW_REQUIRED,low_confidence_metadata,material_standard,plug_socket,ACCESSORIES FOR RIGID STEEL CONDUITS FOR ELECTRICAL WIRING,,,steel,thermal insulation,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 383: 1970,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,aggregate,COARSE AND FINE AGGREGATES FROM NATURAL SOURCES FOR CONCRETE,,,concrete,,high,high,False,,
IS 3843: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,hinge,STEEL BACK FLAP HINGES,,,steel,,high,high,False,,
IS 3847: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,latch,MORTICE NIGHT LATCHES,,,steel,door and window construction,high,high,False,,
IS 3854: 1997,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,SWITCHES FOR DOMESTIC AND SIMILAR PURPOSES,,,,,high,medium,False,,
IS 3908: 1986,REVIEW_REQUIRED,low_confidence_metadata,material_standard,rod,ALUMINIUM EQUAL LEG ANGLES,,,aluminium,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3909: 1986,REVIEW_REQUIRED,low_confidence_metadata,material_standard,rod,ALUMINIUM UNEQUAL LEG ANGLES,,,aluminium,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3921: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,channel,ALUMINIUM CHANNELS,,,aluminium,,high,high,False,,
IS 3951 (Part 1): 1975,REVIEW_REQUIRED,low_confidence_metadata,product_standard,tile,HOLLOW CLAY TILES FOR FLOORS AND ROOFS PART 1 FILLER TYPE,,,clay,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 3951 (Part 2): 1975,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,HOLLOW CLAY TILES FOR FLOORS AND ROOFS PART 2 STRUCTURAL TYPE,,,clay,roofing,high,high,False,,
IS 3952: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,BURNT CLAY HOLLOW BRICKS FOR WALLS AND PARTITIONS,,,clay,,high,high,False,,
IS 3954: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,channel,HOT ROLLED CHANNEL SECTIONS FOR GENERAL ENGINEERING PURPOSES – DIMENSIONS,,,steel,,high,high,False,,
IS 3964: 1980,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,light_rails,LIGHT RAILS,,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 3989: 1984,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,socket,socket,,cast iron,flooring,high,high,False,,
IS 399: 1963,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,CLASSIFICATION OF COMMERCIAL TIMBERS AND THEIR ZONAL DISTRIBUTION,,,timber,,high,high,False,,
IS 4021: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,"TIMBER DOOR, WINDOW AND VENTILATOR FRAMES",,,timber,door and window construction,high,high,False,,
IS 404 (Part 1): 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,LEAD PIPES – FOR OTHER THAN CHEMICAL PURPOSES,,carry_potable_water,,potable water supply,high,high,False,,
IS 407: 1981,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,pipe,BRASS TUBES FORGENERAL PURPOSES,,,,,high,high,False,,
IS 4098: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,cement,LIME POZZOLANA MIXTURE,,,HDPE,,high,high,False,,
IS 412: 1975,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_sheet,EXPANDED METAL STEEL SHEETS FOR GENERAL PURPOSES,,,steel,,high,high,False,,
IS 4139: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,CALCIUM SILICATE BRICKS,,,clay,,high,high,False,,
IS 4160: 1967,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,plug_socket,INTERLOCKING SWITCH SOCKET OUTLET,,,steel,thermal insulation,high,high,False,,
IS 419: 1967,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,"PUTTY, FOR USE ON WINDOW FRAMES",,,timber,door and window construction,high,high,False,,
IS 423: 1961,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,PLASTIC WOOD FOR JOINERS FILLER,,,timber,,high,high,False,,
IS 4270: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,STEEL TUBES USED FOR WATER WELLS,,,steel,,high,high,False,,
IS 432 (Part 1): 1982,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 1 MILD STEEL AND MEDIUM TENSILE STEEL BARS,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 432 (Part II): 1982,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 2 HARD-DRAWN STEEL WIRE,,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4346: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,washer,WASHERS FOR USE WITH FITTINGS FOR WATER SERVICES,,,rubber,potable water supply,high,high,False,,
IS 4350: 1967,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,CONCRETE POROUS PIPES FOR UNDER DRAINAGE 2.4.1 Deviation from straightness — Not to exceed 3 mm per metre run,,,concrete,sewerage,high,high,False,,
IS 4351: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,steel door,steel_door,,steel,flooring,high,high,False,,
IS 4457: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,CERAMIC UNGLAZED VITREOUS ACID RESISTING TILES,,,,,high,high,False,,
IS 452: 1973,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,DOOR SPRING RAT- TAIL TYPE,,,steel,door and window construction,high,high,False,,
IS 453: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,hinge,DOUBLE-ACTING SPRING HINGES,,,steel,door and window construction,high,high,False,,
IS 454: 1994,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,bitumen_from_waxy_crude,CUTBACK BITUMEN FROM WAXY CRUDE,,,bitumen,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 455: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,PORTLAND SLAG CEMENT,,,concrete,,high,high,False,,
IS 458: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,PRECAST CONCRETE PIPES (WITH AND WITHOUT REINFORCEMENT) – SPECIFICATION,,,rubber,,high,high,False,,
IS 459: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,CORRUGATED AND SEMI-CORRUGATED ASBESTOS CEMENT SHEETS,,,,,high,high,False,,
IS 4615: 1968,REVIEW_REQUIRED,low_confidence_metadata,product_standard,plug_socket,SWITCH SOCKET-OUTLETS,,,steel,thermal insulation,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4621: 1975,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,bolt,INDICATING BOLT FOR USE IN PUBLIC BATHS AND LAVATORIES,,structural_fastening,aluminium,,high,high,False,,
IS 4649: 1968,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,ADAPTORS FOR FLEXIBLE STEEL CONDUITS,,,steel,,high,high,False,,
IS 4671: 1984,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,EXPANDED POLYSTYRENE FOR THERMAL INSULATION PURPOSES,,thermal_insulation,,thermal insulation,high,high,False,,
IS 4762: 1984,REVIEW_REQUIRED,low_confidence_metadata,product_standard,pipe_fitting,WORM DRIVE CLAMPS FOR GENERAL PURPOSE,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4832 (Part 1): 1969,REVIEW_REQUIRED,low_confidence_metadata,test_method,,"CHEMICAL RESISTANT MORTARS PART I – SILICATE TYPE Note 1— For method of tests, refer to IS 4456 (Part 1) : 1967 Methods of test for chemical resistant mortar: Part I Silicate type and resin type Note 2— For general guide for chemical resist",portland_pozzolana_fly_ash,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4832 (Part 2): 1969,REVIEW_REQUIRED,low_confidence_metadata,product_standard,tile,CHEMICAL RESISTANT MORTARS PART 2 RESIN TYPE TABLE 1 PHYSICAL REQUIREMENTS OF RESIN TYPE CHEMICAL RESISTANT MORTARS Sl No,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4832 (Part 3): 1968,REVIEW_REQUIRED,low_confidence_metadata,product_standard,tile,CHEMICAL RESISTANT MORTARS PART 3 – SULPHUR TYPE TABLE 1 PHYSICAL REQUIRE- MENTS OF SULPHUR TYPE CHEMI- CAL,,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4860: 1968,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,ACID – RESISTANT BRICKS,,flooring,clay,flooring,high,high,False,,
IS 4885: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,brick,SEWER BRICKS,,carry_sewage,clay,sewerage,high,high,False,,
IS 4891: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,PREFERRED CUT SIZES OF STRUCTURAL TIMBER,,,timber,roofing,high,high,False,,
IS 4895: 1985,REVIEW_REQUIRED,low_confidence_metadata,product_standard,timber,TEAK LOGS,,,timber,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 4923: 1997,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_section,HOLLOW STEEL SECTIONS FOR STRUCTURAL USE,,,steel,,high,high,False,,
IS 4948: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,wire_fabric,WELDED STEEL WIRE FABRIC FOR GENERAL USE,,,steel,door and window construction,high,high,False,,
IS 4962: 1968,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,WOODEN SIDE SLIDING DOORS,,,cast iron,door and window construction,high,high,False,,
IS 4972: 1968,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,electrode,RESISTANCE SPOT – WELDING ELECTRODES,,,aluminium,,high,high,False,,
IS 4984: 1995,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,HIGH DENSITY POLYETHYLENE PIPES FOR WATER SUPPLY,,,HDPE,water supply,high,high,False,,
IS 4985: 2000,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,UNPLASTICIZED PVC PIPES FOR POTABLE WATER SUPPLIES,,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 4990: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,plywood,plywood,,timber,,high,high,False,,
